NOMBDEP,NOMBPROV,NOMBDIST,ID,TXUBIGEO,TXREGION,TXPROVINCIA,TXDISTRITO
AMAZONAS,BAGUA,ARAMANGO,1620,010202,AMAZONAS,BAGUA,ARAMANGO
AMAZONAS,BAGUA,BAGUA,857,010205,AMAZONAS,BAGUA,BAGUA
AMAZONAS,BAGUA,COPALLIN,1604,010203,AMAZONAS,BAGUA,COPALLIN
AMAZONAS,BAGUA,EL PARCO,1600,010204,AMAZONAS,BAGUA,EL PARCO
AMAZONAS,BAGUA,IMAZA,1698,010206,AMAZONAS,BAGUA,IMAZA
AMAZONAS,BAGUA,LA PECA,572,010201,AMAZONAS,BAGUA,LA PECA
AMAZONAS,BONGARA,CHISQUILLA,1640,010304,AMAZONAS,BONGARA,CHISQUILLA
AMAZONAS,BONGARA,CHURUJA,608,010305,AMAZONAS,BONGARA,CHURUJA
AMAZONAS,BONGARA,COROSHA,852,010302,AMAZONAS,BONGARA,COROSHA
AMAZONAS,BONGARA,CUISPES,1638,010303,AMAZONAS,BONGARA,CUISPES
AMAZONAS,BONGARA,FLORIDA,1591,010306,AMAZONAS,BONGARA,FLORIDA
AMAZONAS,BONGARA,JAZAN,1633,010312,AMAZONAS,BONGARA,JAZAN
AMAZONAS,BONGARA,JUMBILLA,1641,010301,AMAZONAS,BONGARA,JUMBILLA
AMAZONAS,BONGARA,RECTA,1635,010307,AMAZONAS,BONGARA,RECTA
AMAZONAS,BONGARA,SAN CARLOS,616,010308,AMAZONAS,BONGARA,SAN CARLOS
AMAZONAS,BONGARA,SHIPASBAMBA,1639,010309,AMAZONAS,BONGARA,SHIPASBAMBA
AMAZONAS,BONGARA,VALERA,848,010310,AMAZONAS,BONGARA,VALERA
AMAZONAS,BONGARA,YAMBRASBAMBA,1622,010311,AMAZONAS,BONGARA,YAMBRASBAMBA
AMAZONAS,CHACHAPOYAS,ASUNCION,618,010102,AMAZONAS,CHACHAPOYAS,ASUNCION
AMAZONAS,CHACHAPOYAS,BALSAS,312,010103,AMAZONAS,CHACHAPOYAS,BALSAS
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,578,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
AMAZONAS,CHACHAPOYAS,CHETO,692,010104,AMAZONAS,CHACHAPOYAS,CHETO
AMAZONAS,CHACHAPOYAS,CHILIQUIN,607,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1428,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
AMAZONAS,CHACHAPOYAS,GRANADA,846,010107,AMAZONAS,CHACHAPOYAS,GRANADA
AMAZONAS,CHACHAPOYAS,HUANCAS,601,010108,AMAZONAS,CHACHAPOYAS,HUANCAS
AMAZONAS,CHACHAPOYAS,LA JALCA,565,010109,AMAZONAS,CHACHAPOYAS,LA JALCA
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,517,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
AMAZONAS,CHACHAPOYAS,LEVANTO,1564,010111,AMAZONAS,CHACHAPOYAS,LEVANTO
AMAZONAS,CHACHAPOYAS,MAGDALENA,593,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1657,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1612,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1649,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
AMAZONAS,CHACHAPOYAS,OLLEROS,619,010116,AMAZONAS,CHACHAPOYAS,OLLEROS
AMAZONAS,CHACHAPOYAS,QUINJALCA,847,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,575,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,1632,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
AMAZONAS,CHACHAPOYAS,SOLOCO,1647,010120,AMAZONAS,CHACHAPOYAS,SOLOCO
AMAZONAS,CHACHAPOYAS,SONCHE,1614,010121,AMAZONAS,CHACHAPOYAS,SONCHE
AMAZONAS,CONDORCANQUI,EL CENEPA,1699,010603,AMAZONAS,CONDORCANQUI,EL CENEPA
AMAZONAS,CONDORCANQUI,NIEVA,622,010601,AMAZONAS,CONDORCANQUI,NIEVA
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,1700,010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
AMAZONAS,LUYA,CAMPORREDONDO,1585,010402,AMAZONAS,LUYA,CAMPORREDONDO
AMAZONAS,LUYA,COCABAMBA,1661,010403,AMAZONAS,LUYA,COCABAMBA
AMAZONAS,LUYA,COLCAMAR,323,010404,AMAZONAS,LUYA,COLCAMAR
AMAZONAS,LUYA,CONILA,694,010405,AMAZONAS,LUYA,CONILA
AMAZONAS,LUYA,INGUILPATA,600,010406,AMAZONAS,LUYA,INGUILPATA
AMAZONAS,LUYA,LAMUD,397,010401,AMAZONAS,LUYA,LAMUD
AMAZONAS,LUYA,LONGUITA,594,010407,AMAZONAS,LUYA,LONGUITA
AMAZONAS,LUYA,LONYA CHICO,580,010408,AMAZONAS,LUYA,LONYA CHICO
AMAZONAS,LUYA,LUYA,1580,010409,AMAZONAS,LUYA,LUYA
AMAZONAS,LUYA,LUYA VIEJO,693,010410,AMAZONAS,LUYA,LUYA VIEJO
AMAZONAS,LUYA,MARIA,859,010411,AMAZONAS,LUYA,MARIA
AMAZONAS,LUYA,OCALLI,1611,010412,AMAZONAS,LUYA,OCALLI
AMAZONAS,LUYA,OCUMAL,1646,010413,AMAZONAS,LUYA,OCUMAL
AMAZONAS,LUYA,PISUQUIA,336,010414,AMAZONAS,LUYA,PISUQUIA
AMAZONAS,LUYA,PROVIDENCIA,322,010423,AMAZONAS,LUYA,PROVIDENCIA
AMAZONAS,LUYA,SAN CRISTOBAL,845,010415,AMAZONAS,LUYA,SAN CRISTOBAL
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,626,010416,AMAZONAS,LUYA,SAN FRANCISCO DE YESO
