NOMBDEP,NOMBPROV,ID,TXUBIGEOPROVINCIA,TXREGION,TXPROVINCIA
AMAZONAS,BAGUA,3,10200,AMAZONAS,BAGUA
AMAZONAS,BONGARA,1,10300,AMAZONAS,BONGARA
AMAZONAS,CHACHAPOYAS,2,10100,AMAZONAS,CHACHAPOYAS
AMAZONAS,CONDORCANQUI,4,10600,AMAZONAS,CONDORCANQUI
AMAZONAS,LUYA,5,10400,AMAZONAS,LUYA
AMAZONAS,RODRIGUEZ DE MENDOZA,6,10500,AMAZONAS,RODRIGUEZ DE MENDOZA
AMAZONAS,UTCUBAMBA,7,10700,AMAZONAS,UTCUBAMBA
ANCASH,AIJA,10,20200,ANCASH,AIJA
ANCASH,ANTONIO RAYMONDI,11,21600,ANCASH,ANTONIO RAIMONDI
ANCASH,ASUNCION,12,21800,ANCASH,ASUNCION
ANCASH,BOLOGNESI,13,20300,ANCASH,BOLOGNESI
ANCASH,CARHUAZ,14,20400,ANCASH,CARHUAZ
ANCASH,CARLOS FERMIN FITZCARRALD,15,21700,ANCASH,CARLOS FERMIN FITZCARRALD
ANCASH,CASMA,16,20500,ANCASH,CASMA
ANCASH,CORONGO,8,20600,ANCASH,CORONGO
ANCASH,HUARAZ,9,20100,ANCASH,HUARAZ
ANCASH,HUARI,17,20800,ANCASH,HUARI
ANCASH,HUARMEY,18,21900,ANCASH,HUARMEY
ANCASH,HUAYLAS,19,20700,ANCASH,HUAYLAS
ANCASH,MARISCAL LUZURIAGA,20,20900,ANCASH,MARISCAL LUZURIAGA
ANCASH,OCROS,21,22000,ANCASH,OCROS
ANCASH,PALLASCA,22,21000,ANCASH,PALLASCA
ANCASH,POMABAMBA,23,21100,ANCASH,POMABAMBA
ANCASH,RECUAY,24,21200,ANCASH,RECUAY
ANCASH,SANTA,25,21300,ANCASH,SANTA
ANCASH,SIHUAS,26,21400,ANCASH,SIHUAS
ANCASH,YUNGAY,27,21500,ANCASH,YUNGAY
APURIMAC,ABANCAY,28,30100,APURIMAC,ABANCAY
APURIMAC,ANDAHUAYLAS,29,30300,APURIMAC,ANDAHUAYLAS
APURIMAC,ANTABAMBA,30,30400,APURIMAC,ANTABAMBA
APURIMAC,AYMARAES,31,30200,APURIMAC,AYMARAES
APURIMAC,CHINCHEROS,32,30700,APURIMAC,CHINCHEROS
APURIMAC,COTABAMBAS,33,30500,APURIMAC,COTABAMBAS
APURIMAC,GRAU,34,30600,APURIMAC,GRAU
AREQUIPA,AREQUIPA,35,40100,AREQUIPA,AREQUIPA
AREQUIPA,CAMANA,36,40300,AREQUIPA,CAMANA
AREQUIPA,CARAVELI,37,40400,AREQUIPA,CARAVELI
AREQUIPA,CASTILLA,38,40500,AREQUIPA,CASTILLA
AREQUIPA,CAYLLOMA,39,40200,AREQUIPA,CAYLLOMA
AREQUIPA,CONDESUYOS,40,40600,AREQUIPA,CONDESUYOS
AREQUIPA,ISLAY,41,40700,AREQUIPA,ISLAY
AREQUIPA,LA UNION,42,40800,AREQUIPA,LA UNION
AYACUCHO,CANGALLO,43,50200,AYACUCHO,CANGALLO
AYACUCHO,HUAMANGA,44,50100,AYACUCHO,HUAMANGA
AYACUCHO,HUANCA SANCOS,45,50800,AYACUCHO,HUANCA SANCOS
AYACUCHO,HUANTA,46,50300,AYACUCHO,HUANTA
AYACUCHO,LA MAR,47,50400,AYACUCHO,LA MAR
AYACUCHO,LUCANAS,48,50500,AYACUCHO,LUCANAS
AYACUCHO,PARINACOCHAS,49,50600,AYACUCHO,PARINACOCHAS
AYACUCHO,PAUCAR DEL SARA SARA,50,51000,AYACUCHO,PAUCAR DEL SARA SARA
AYACUCHO,SUCRE,51,51100,AYACUCHO,SUCRE
AYACUCHO,VICTOR FAJARDO,52,50700,AYACUCHO,VICTOR FAJARDO
AYACUCHO,VILCAS HUAMAN,53,50900,AYACUCHO,VILCAS HUAMAN
CAJAMARCA,CAJABAMBA,54,60200,CAJAMARCA,CAJABAMBA
